highway;other_tags;ame_d;ame_g
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
service;"""access""=>""permissive"",""horse""=>""no"",""motor_vehicle""=>""no""";AUTRE;AUTRE
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway""=>""lane"",""cycleway:left""=>""track"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;PISTE CYCLABLE
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:left""=>""track"",""maxspeed""=>""30"",""oneway""=>""yes"",""parking:lane:right""=>""parallel"",""surface""=>""asphalt""";AUCUN;PISTE CYCLABLE
secondary;"""busway:left""=>""lane"",""cycleway:left""=>""share_busway"",""cycleway:right""=>""lane"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""parking:lane:right""=>""parallel"",""surface""=>""asphalt""";BANDE CYCLABLE;COULOIR BUS+VELO
secondary;"""busway:left""=>""lane"",""cycleway:left""=>""share_busway"",""cycleway:right""=>""lane"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""parking:lane:both""=>""parallel"",""surface""=>""asphalt""";BANDE CYCLABLE;COULOIR BUS+VELO
secondary;"""busway:left""=>""lane"",""cycleway:left""=>""share_busway"",""cycleway:right""=>""lane"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""parking:lane:left""=>""parallel"",""surface""=>""asphalt""";BANDE CYCLABLE;COULOIR BUS+VELO
cycleway;"""bicycle""=>""yes"",""cycleway""=>""sidewalk"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway""=>""lane"",""maxspeed""=>""30"",""parking:lane:both""=>""diagonal"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:both""=>""lane"",""cycleway:both:lane""=>""exclusive"",""lanes""=>""2"",""maxspeed""=>""30"",""parking:lane:left""=>""parallel"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""alt_name""=>""Avenue de l'École d'Agriculture-Gabriel Buchet"",""cycleway""=>""lane"",""maxspeed""=>""30"",""parking:lane:both""=>""diagonal""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""alt_name""=>""Avenue du Professeur Louis Ravaz"",""cycleway""=>""lane"",""maxspeed""=>""30"",""maxspeed:type""=>""FR:urban"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""cycleway""=>""lane"",""maxspeed""=>""30"",""parking:lane:both""=>""parallel""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""cycleway""=>""lane"",""maxspeed""=>""30"",""parking:lane:left""=>""parallel""";BANDE CYCLABLE;BANDE CYCLABLE
tertiary;"""cycleway:left""=>""track"",""cycleway:left:start_date""=>""2020-01-28"",""description""=>""covid19 : piste cyclable temporaire"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""parking:lane:right""=>""parallel"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";AUCUN;PISTE CYCLABLE
tertiary;"""cycleway:left""=>""track"",""cycleway:left:start_date""=>""2020-01-28"",""description""=>""covid19 : piste cyclable temporaire"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";AUCUN;PISTE CYCLABLE
primary;"""cyclability""=>""inadvisable"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""1"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
tertiary;"""cycleway""=>""opposite_lane"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE BANDE
cycleway;"""foot""=>""yes"",""lit""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
primary_link;"""cycleway:right""=>""lane"",""layer""=>""1"",""oneway""=>""yes"",""ref""=>""M 65""";BANDE CYCLABLE;AUCUN
secondary;"""bicycle""=>""yes"",""cyclability""=>""inadvisable"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""parking:lane:right""=>""parallel"",""segregated""=>""no"",""surface""=>""asphalt"",""was:lanes""=>""2""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""admin_level""=>""10"",""cycleway:both""=>""lane"",""cycleway:both:lane""=>""exclusive"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""no"",""parking:lane:right""=>""parallel"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:left""=>""no"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""no"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:both""=>""lane"",""cycleway:both:lane""=>""exclusive"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""no"",""parking:lane:both""=>""parallel"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
residential;"""capacity""=>""56"",""capacity:disabled""=>""1"",""cycleway:right""=>""lane"",""parking:lane:left""=>""parallel""";BANDE CYCLABLE;AUCUN
secondary;"""access""=>""yes"",""bicycle""=>""yes"",""cycleway:left""=>""no"",""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""foot""=>""yes"",""lanes""=>""3"",""lanes:psv""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""parking:lane:both""=>""parallel"",""start_date:cycleway:right""=>""2021-01-28"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
secondary;"""bicycle""=>""yes"",""cycleway:right""=>""track"",""description:covid19""=>""Piste cyclable temporaire"",""lanes""=>""3"",""maxspeed""=>""30"",""oneway""=>""yes"",""parking:lane:right""=>""parallel"",""start_date:cycleway:right""=>""2021-01-28"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
secondary;"""bicycle""=>""yes"",""cycleway:right""=>""track"",""description:covid19""=>""Piste cyclable temporaire"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""start_date:cycleway:right""=>""2021-01-28"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
track;"""bicycle""=>""dismount"",""horse""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt"",""tracktype""=>""grade1""";AUTRE;AUTRE
cycleway;"""foot""=>""yes"",""oneway""=>""yes"",""oneway:foot""=>""no"",""segregated""=>""yes""";PISTE CYCLABLE;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway""=>""no"",""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt"",""was:lanes""=>""3""";COULOIR BUS+VELO;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway""=>""no"",""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""50"",""oneway""=>""yes"",""parking:lane:right""=>""parallel"",""surface""=>""asphalt"",""was:lanes""=>""3""";COULOIR BUS+VELO;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""footway""=>""crossing"",""segregated""=>""yes""";VOIE VERTE;VOIE VERTE
cycleway;"""surface""=>""paved""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""footway""=>""crossing"",""segregated""=>""no""";VOIE VERTE;VOIE VERTE
tertiary;"""cycleway:right""=>""track"",""lit""=>""yes"",""maxspeed""=>""30"",""maxspeed:type""=>""FR:urban"",""oneway""=>""yes"",""parking:lane:right""=>""parallel"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""description""=>""2010/NT/R/DGU-P487"",""foot""=>""designated"",""horse""=>""no"",""lit""=>""yes"",""motor_vehicle""=>""no"",""segregated""=>""no"",""surface""=>""paving_stones""";VOIE VERTE;VOIE VERTE
track;"""motor_vehicle""=>""no"",""tracktype""=>""grade1""";AUTRE;AUTRE
primary;"""cyclability""=>""good"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""maxspeed""=>""50"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""turn:lanes""=>""left|through|through"",""was:lanes""=>""2""";PISTE CYCLABLE;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""1"",""oneway""=>""yes"",""was:lanes""=>""2""";PISTE CYCLABLE;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""oneway""=>""no"",""was:lanes""=>""4""";PISTE CYCLABLE;PISTE CYCLABLE
primary;"""cyclability""=>""good"",""cycleway""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""3"",""lanes:backward""=>""3"",""oneway""=>""no"",""surface""=>""asphalt"",""turn:lanes:backward""=>""left|through|through;right"",""was:lanes""=>""5""";PISTE CYCLABLE;PISTE CYCLABLE
footway;"""bicycle""=>""designated"",""footway""=>""crossing"",""segregated""=>""no"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
secondary;"""cycleway""=>""lane"",""lanes""=>""3"",""lanes:backward""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""lit""=>""yes"",""segregated""=>""no"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""oneway""=>""no"",""ref:MMM""=>""2016-P114"",""start_date""=>""2016-09-20"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bridge""=>""yes"",""description""=>""2016-P114"",""layer""=>""1"",""oneway""=>""no"",""start_date""=>""2016-09-20""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""oneway""=>""no"",""start_date""=>""2016""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""access""=>""no"",""cycleway:right""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
residential;"""cycleway:left""=>""opposite_share_busway"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""sidewalk""=>""both"",""smoothness""=>""good"",""surface""=>""asphalt""";AUCUN;COULOIR BUS+VELO
residential;"""bicycle""=>""designated"",""cycleway""=>""opposite"",""oneway""=>""yes""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
tertiary;"""cycleway""=>""lane""";BANDE CYCLABLE;BANDE CYCLABLE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""lit""=>""yes"",""oneway""=>""no"",""segregated""=>""yes"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
residential;"""cycleway:right""=>""lane"",""junction""=>""roundabout""";BANDE CYCLABLE;AUCUN
residential;"""cycleway:right""=>""lane"",""oneway""=>""yes"",""ref:FR:FANTOIR""=>""340950302E""";BANDE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""description""=>""Voie verte"",""foot""=>""designated"",""motor_vehicle""=>""no"",""surface""=>""fine_gravel""";VOIE VERTE;VOIE VERTE
footway;"""bicycle""=>""designated"",""footway""=>""crossing""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
residential;"""cycleway:left""=>""opposite_lane"",""oneway""=>""yes"",""surface""=>""paved"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE BANDE
path;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""motor_vehicle""=>""no""";VOIE VERTE;VOIE VERTE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""footway""=>""crossing"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
track;"""access""=>""agricultural"",""bicycle""=>""yes"",""foot""=>""yes"",""incline""=>""up"",""motor_vehicle""=>""no"",""surface""=>""ground"",""tracktype""=>""grade2"",""width""=>""3""";AUTRE;AUTRE
cycleway;"""bicycle""=>""designated"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
track;"""bicycle""=>""yes"",""foot""=>""yes"",""horse""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt"",""tracktype""=>""grade1"",""width""=>""2.5""";AUTRE;AUTRE
cycleway;"""start_date""=>""2015-12""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""bicycle""=>""yes"",""cycleway:both""=>""lane"",""cycleway:both:lane""=>""exclusive"",""lanes""=>""3"",""lanes:backward""=>""2"",""lanes:forward""=>""1"",""lit""=>""yes"",""maxspeed""=>""30"",""sidewalk""=>""both"",""surface""=>""asphalt"",""turn:lanes:backward""=>""left|through;right""";BANDE CYCLABLE;BANDE CYCLABLE
cycleway;"""lit""=>""yes"",""start_date""=>""2016"",""surface""=>""asphalt"",""width""=>""3""";PISTE CYCLABLE;PISTE CYCLABLE
living_street;"""bicycle""=>""yes"",""cycleway:left""=>""no"",""cycleway:right""=>""no"",""foot""=>""yes"",""lit""=>""yes"",""maxspeed""=>""10"",""motor_vehicle""=>""designated"",""oneway""=>""yes"",""psv""=>""yes"",""sidewalk""=>""right"",""sidewalk:right:bicycle""=>""yes"",""surface""=>""concrete""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AUCUN
cycleway;"""lit""=>""yes"",""surface""=>""paved"",""surface:note""=>""gravillons dans béton""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cyclability""=>""good"",""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""parking:lane:both""=>""parallel"",""surface""=>""asphalt"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""cyclability""=>""good"",""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""cyclability""=>""good"",""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""parking:lane:right""=>""parallel"",""zone:maxspeed""=>""FR:30""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
residential;"""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
cycleway;"""cycleway""=>""crossing"",""lit""=>""yes"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""crossing""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway:left""=>""lane"",""oneway""=>""yes"",""traffic_calming""=>""table""";AUCUN;BANDE CYCLABLE
secondary;"""cycleway:right""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""turn:lanes""=>""through|right""";PISTE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""start_date""=>""2016""";PISTE CYCLABLE;PISTE CYCLABLE
living_street;"""cycleway""=>""opposite"",""lit""=>""yes"",""maxspeed""=>""20"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""start_date""=>""2016-09-21""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""bridge""=>""yes"",""foot""=>""designated"",""motor_vehicle""=>""no"",""oneway""=>""no""";VOIE VERTE;VOIE VERTE
footway;"""bicycle""=>""designated"",""foot""=>""designated"",""lit""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""bicycle""=>""designated"",""foot""=>""yes"",""lcn""=>""yes"",""note:MMM""=>""2014-P129"",""oneway""=>""yes"",""oneway:bicycle""=>""yes"",""segregated""=>""yes"",""surface""=>""asphalt"",""width""=>""2.5""";PISTE CYCLABLE;AUCUN
cycleway;"""access""=>""no"",""bicycle""=>""designated"",""foot""=>""yes"",""lcn""=>""yes"",""note:MMM""=>""2014-P129"",""oneway""=>""yes"",""oneway:bicycle""=>""yes"",""segregated""=>""yes"",""surface""=>""asphalt"",""width""=>""2.5""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""bridge""=>""yes"",""foot""=>""yes"",""layer""=>""1"",""lcn""=>""yes"",""oneway:bicycle""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""bridge""=>""yes"",""layer""=>""1"",""lcn""=>""yes"",""oneway:bicycle""=>""yes"",""segregated""=>""yes"",""surface""=>""asphalt"",""width""=>""2.5""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bridge""=>""yes"",""foot""=>""yes"",""layer""=>""1"",""oneway""=>""yes""";PISTE CYCLABLE;AUCUN
footway;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""oneway:bicycle""=>""no""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
path;"""bicycle""=>""designated"",""description""=>""2010/NT/R/DGU-P487"",""foot""=>""designated"",""motor_vehicle""=>""no"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
footway;"""bicycle""=>""yes"",""cyclability""=>""good"",""footway""=>""sidewalk"",""oneway""=>""no"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""oneway""=>""yes"",""start_date""=>""2017""";PISTE CYCLABLE;AUCUN
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:right""=>""lane"",""lanes""=>""2"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
residential;"""bicycle""=>""designated"",""cycleway:left""=>""lane"",""cycleway:start_date""=>""2017"",""maxspeed""=>""30"",""surface""=>""asphalt""";AUCUN;BANDE CYCLABLE
footway;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""start_date""=>""2017-03-30""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
footway;"""bicycle""=>""designated"",""bridge""=>""yes"",""foot""=>""designated"",""layer""=>""1"",""motor_vehicle""=>""no"",""start_date""=>""2017-03-30""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
footway;"""bicycle""=>""designated"",""foot""=>""designated"",""incline""=>""down"",""motor_vehicle""=>""no"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""oneway""=>""yes"",""ref:MMM""=>""2010/NT/R/DGU-P299"",""start_date""=>""2016""";PISTE CYCLABLE;AUCUN
cycleway;"""oneway""=>""yes"",""ref:3MMM""=>""2010/NT/R/DGU-P299""";PISTE CYCLABLE;AUCUN
path;"""access""=>""no"",""bicycle""=>""designated"",""description""=>""2010/NT/R/DGU-P487"",""embankment""=>""yes"",""foot""=>""designated"",""motor_vehicle""=>""no"",""rcn""=>""yes"",""surface""=>""asphalt""";VOIE VERTE;VOIE VERTE
residential;"""cycleway""=>""lane"",""lanes""=>""2"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
residential;"""bicycle""=>""yes"",""cycleway""=>""lane"",""foot""=>""yes"",""horse""=>""yes"",""lanes""=>""2"",""maxspeed""=>""30"",""motor_vehicle""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
cycleway;"""foot""=>""yes"",""oneway""=>""no"",""surface""=>""asphalt"",""width""=>""1""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""cycleway""=>""lane"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""cycleway:right""=>""lane"",""description:covid19""=>""piste cyclable temporaire"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
cycleway;"""start_date""=>""2014""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""description""=>""2016-P98"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""yes"",""cycleway""=>""sidewalk"",""surface""=>""paving_stones""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""access""=>""no"",""bicycle""=>""designated"",""description""=>""2015-P111"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
