highway;other_tags;ame_d;ame_g
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes""";COULOIR BUS+VELO;AUCUN
residential;"""cycleway:right""=>""lane"",""cycleway:start_date""=>""2017"",""maxspeed""=>""30""";BANDE CYCLABLE;AUCUN
residential;"""access""=>""yes"",""bicycle""=>""yes"",""cyclability""=>""good"",""cycleway:right""=>""lane"",""doubleway""=>""yes"",""foot""=>""yes"",""maxspeed""=>""30"",""oneway""=>""no"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""horse""=>""no"",""surface""=>""asphalt"",""width""=>""3""";VOIE VERTE;VOIE VERTE
path;"""bicycle""=>""designated"",""bridge""=>""yes"",""description""=>""2010/NT/R/DGU-P395"",""foot""=>""designated"",""horse""=>""no"",""layer""=>""1"",""lit""=>""yes"",""segregated""=>""no"",""surface""=>""wood""";VOIE VERTE;VOIE VERTE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""footway""=>""sidewalk"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""cycleway:right""=>""share_busway"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""footway""=>""sidewalk""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""lit""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bridge""=>""yes"",""layer""=>""1"",""lit""=>""yes"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""lit""=>""yes"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""bicycle""=>""yes"",""foot""=>""yes"",""maxspeed""=>""30"",""motor_vehicle""=>""no""";AUTRE;AUTRE
secondary;"""cycleway""=>""lane"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lanes:forward""=>""1"",""maxspeed""=>""30""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""cycleway:left""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""maxspeed""=>""30"",""surface""=>""asphalt""";AUCUN;PISTE CYCLABLE
